imdb_id,N_Theatres,Release Date,Summary,Budget,Opening,Gross_Domestic,Gross_Worldwide,IMDB Rating,Voters,N_Articles,Awards Summary,MPAA,keyword_tag,Production Company,Distributor,Directors,Writers,Stars,tmdb_id
tt0039302,1,"Sep 27, 1947",A man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.,,,,"$9,693",7.5,"19,450",86,,Passed,"Film-Noir, Thriller",Warner Bros.,Warner Bros.,Delmer Daves,"Delmer Daves, David Goodis","Humphrey Bogart, Lauren Bacall, Bruce Bennett",16227
tt0088979,"1,100","Jun 14, 1985",A seemingly normal young boy is found abandoned on a mountain road and adopted by a family who are increasingly amazed by his abilities before discovering the secret behind his real identity.,,"$2,649,832","$7,840,873","$7,840,873",6.2,"13,073",29,1 win & 2 nominations,PG,"Family, Sci-Fi",Paramount Pictures,Paramount Pictures,Simon Wincer,"David Ambrose, Allan Scott, Jeffrey Ellis","Mary Beth Hurt, Michael McKean, Kathryn Walker",16248
tt0062737,,"Feb 8, 1968","On the Carolina coast, Godolphin College's new track coach lodges at Blackbeard's Inn, run by the Daughters of the Buccaneers, who claim to be descendants of the notorious pirate, and who risk losing their hotel to the local mobster.",,,"$10,900,000","$21,540,050",6.8,"5,993",10,,Approved,"Comedy, Family, Fantasy",Walt Disney Productions,Buena Vista Distribution Company,Robert Stevenson,"Bill Walsh, Don DaGradi, Ben Stahl","Peter Ustinov, Dean Jones, Suzanne Pleshette",16249
tt0089208,613,"Apr 12, 1985","Janey is new in town and soon meets Lynne, who shares her passion for dancing in general and ""Dance TV"" in particular.",,"$1,650,078","$6,326,051","$6,326,051",5.9,"11,966",184,,PG,"Comedy, Music, Romance",New World Pictures,New World Pictures,Alan Metter,Amy Spies,"Biff Yeager, Kristi Somers, Richard Blade",16263
tt0030241,,"Jun 15, 1938",A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.,,,,"$14,486",7.7,"16,163",65,Nominated for 1 Oscar Award. Another 1 win,Passed,"Comedy, Romance",Columbia Pictures,Columbia Pictures,George Cukor,"Donald Ogden Stewart, Sidney Buchman, Philip Barry","Katharine Hepburn, Cary Grant, Doris Nolan",16274
tt0034240,,"Feb 6, 1942",Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,"$689,665",,,"$10,249",7.9,"26,074",65,2 wins,Passed,"Adventure, Comedy, Drama",Paramount Pictures,Paramount Pictures,Preston Sturges,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick",16305
tt0070917,1,"Aug 7, 1974","A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl, who the Pagan locals claim never existed.","$810,000","$5,493","$60,891","$162,007",7.5,"79,287","1,027",2 wins & 6 nominations,R,"Horror, Mystery, Thriller",British Lion Film Corporation,Warner Bros.,Robin Hardy,"Anthony Shaffer, David Pinner","Edward Woodward, Christopher Lee, Diane Cilento",16307
tt0079826,44,"Nov 7, 1979",The tragic life of a self-destructive female rock star who struggles to deal with the constant pressures of her career and the demands of her ruthless business manager.,"$8,500,000","$793,063","$29,174,648","$29,174,648",6.9,"8,610",128,Nominated for 4 Oscar Awards. Another 5 wins & 8 nominations,R,"Drama, Music, Romance",Twentieth Century Fox,Twentieth Century Fox,Mark Rydell,"Bill Kerby, Bo Goldman, Michael Cimino","Bette Midler, Alan Bates, Frederic Forrest",16323
tt0067277,1,"Aug 4, 1971","During World War I, a patriotic young American is rendered blind, deaf, limbless, and mute by a horrific artillery shell attack. Trapped in what's left of his body, he desperately looks for a way to end his life.","$1,000,000",,,"$2,735",7.8,"16,769",35,3 wins & 3 nominations,R,"Drama, War",World Entertainment,Cinemation Industries,Dalton Trumbo,"Dalton Trumbo, Luis Buñuel","Timothy Bottoms, Kathy Fields, Marsha Hunt",16328
tt0066528,,"Jun 30, 1970","The story, adapted from a novella by D.H. Lawrence, tells how the daughter of a staid Rector in the north of England, rebels against her family by having a relationship with a gypsy, and how ""the voice of the water"" triumphs in the end.",,,"$1,183,273","$7,847,000",6.1,352,3,1 win & 5 nominations,R,"Drama, Romance",Kenneth Harper Production,Chevron Pictures,Christopher Miles,"D.H. Lawrence, Alan Plater","Joanna Shimkus, Franco Nero, Honor Blackman",81888
tt0083642,"1,400","Jul 23, 1982",A town's Sheriff and regular patron of a historical whorehouse fights to keep it running when a television reporter targets it as the Devil's playhouse.,"$35,000,000","$11,874,268","$69,701,637","$69,701,637",6.0,"12,119",144,Nominated for 1 Oscar Award. Another 2 nominations,R,"Comedy, Musical",Universal Pictures,Universal Pictures,Colin Higgins,"Larry L. King, Peter Masterson, Colin Higgins","Burt Reynolds, Dolly Parton, Dom DeLuise",16363
tt0055018,1,"Dec 15, 1961",A young governess for two children becomes convinced that the house and grounds are haunted.,"£430,000",,,"$30,103",7.8,"29,915",317,Nominated for 2 BAFTA Film Award Awards. Another 3 wins & 3 nominations,Not Rated,Horror,Achilles,Twentieth Century Fox,Jack Clayton,"Henry James, John Mortimer, William Archibald","Deborah Kerr, Peter Wyngarde, Megs Jenkins",16372
tt0039192,1,Dec 1947,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad.","£280,000",,,"$58,436",7.8,"24,513",291,Won 2 Oscar Awards. Another 3 wins & 1 nomination,Not Rated,Drama,The Archers,Universal Pictures,"Michael Powell, Emeric Pressburger","Rumer Godden, Michael Powell, Emeric Pressburger","Deborah Kerr, David Farrar, Flora Robson",16391
tt0034167,,"Sep 27, 1941","A Tennessee farmer and marksman is drafted in World War I, and struggles with his pacifist inclinations before becoming one of the most celebrated war heroes.","$1,400,000",,"$16,361,885","$16,364,924",7.7,"18,159",63,Won 2 Oscar Awards. Another 3 wins & 10 nominations,Passed,"Biography, Drama, History",Warner Bros.,Warner Bros.,Howard Hawks,"Abem Finkel, Harry Chandlee, Howard Koch","Gary Cooper, Walter Brennan, Joan Leslie",16442
tt0049408,,"Jun 29, 1956",A widow accepts a job as a live-in governess to the King of Siam's children.,"$4,550,000",,"$21,300,000","$21,300,415",7.4,"25,937",473,Won 5 Oscar Awards. Another 5 wins & 12 nominations,G,"Biography, Drama, Musical",Twentieth Century Fox,Twentieth Century Fox,Walter Lang,"Ernest Lehman, Oscar Hammerstein II, Margaret Landon","Yul Brynner, Deborah Kerr, Rita Moreno",16520
tt0098442,585,"Feb 10, 1989","Just released from prison, Max Washington must decide which of his previous professions to return to: burglary or tap-dancing.",,"$2,217,150","$9,114,702","$9,114,702",6.5,"1,602",42,1 win & 3 nominations,PG-13,"Comedy, Drama, Music",Beco Films,TriStar Pictures,Nick Castle,Nick Castle,"Gregory Hines, Suzzanne Douglas, Sammy Davis Jr.",16560
tt0081283,6,"Sep 19, 1980","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.","$6,000,000","$170,335","$54,766,923","$54,766,923",7.7,"51,455",862,Won 4 Oscar Awards. Another 15 wins & 14 nominations,R,Drama,Paramount Pictures,Paramount Pictures,Robert Redford,"Judith Guest, Alvin Sargent, Nancy Dowd","Donald Sutherland, Mary Tyler Moore, Judd Hirsch",16619
tt0093378,"1,251","Jul 24, 1987",Biographical story of the rise from nowhere of early rock and roll singer Ritchie Valens who died at age 17 in a plane crash with Buddy Holly and The Big Bopper.,"$6,500,000","$5,651,990","$54,215,416","$54,215,416",6.9,"33,184",106,3 wins & 3 nominations,PG-13,"Biography, Drama, Music",Columbia Pictures,Columbia Pictures,Luis Valdez,Luis Valdez,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto",16620
tt0081534,369,"Oct 3, 1980",A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,"$5,100,000","$1,203,011","$9,709,597","$9,709,597",7.2,"29,173",139,Nominated for 1 Oscar Award. Another 7 wins & 4 nominations,PG,"Drama, Fantasy, Romance",Rastar Pictures,Universal Pictures,Jeannot Szwarc,Richard Matheson,"Christopher Reeve, Jane Seymour, Christopher Plummer",16633
tt0077405,,"Oct 6, 1978",A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,"$3,000,000",,"$3,446,749","$3,475,702",7.8,"57,400",742,Won 1 Oscar Award. Another 12 wins & 12 nominations,PG,"Drama, Romance",Paramount Pictures,Hollywood Classics,Terrence Malick,Terrence Malick,"Richard Gere, Brooke Adams, Sam Shepard",16642
tt0042040,3,"Dec 25, 1949","Scottish islanders try to plunder 50,000 cases of whisky from a stranded ship.",,,,"$11,444",7.2,"5,896",61,Nominated for 1 BAFTA Film Award Award. Another 1 win,Approved,"Comedy, Crime",Ealing Studios,Universal Pictures,Alexander Mackendrick,"Compton MacKenzie, Angus MacPhail","Basil Radford, Joan Greenwood, Catherine Lacey",16665
tt0090310,2,"Jul 19, 1985","The mysterious death of an enigmatic young man newly arrived in the suburb of Wetherby releases the long-repressed, dark passions of some of its residents.",,"$37,283","$1,299,985","$1,299,985",6.5,"1,622",8,Nominated for 1 BAFTA Film Award Award. Another 5 wins & 1 nomination,R,"Drama, Mystery",Film Four International,MGM/UA Classics,David Hare,David Hare,"Vanessa Redgrave, Ian Holm, Judi Dench",147747
